Species,Functional ,NonFuctional,Activity Pattern
Bison bison,836,1333,CATHEMERAL
Bubalus bubalis,751,1030,CATHEMERAL
Cricetulus griseus,851,517,CATHEMERAL
Equus caballus,931,1594,CATHEMERAL
Equus przewalskii,761,1307,CATHEMERAL
Loxodonta Africana,1765,2434,CATHEMERAL
Microgale talazaci,886,770,CATHEMERAL
Microtus ochrogaster,779,500,CATHEMERAL
Scalopus aquaticus,978,867,CATHEMERAL
Sigmodon hispidus,841,653,CATHEMERAL
Tolypeutes matacus,1034,2095,CATHEMERAL
Ceratotherium cottoni,746,986,CREPUSCULAR
Ceratotherium simum,908,1013,CREPUSCULAR
Odocoileus virginianus,763,924,CREPUSCULAR
Ammotragus lervia,740,868,DIURNAL
Bos indicus,735,741,DIURNAL
Bos mutus,783,1270,DIURNAL
Bos taurus,914,1123,DIURNAL
Capra aegagrus,764,895,DIURNAL
Capra hircus,780,793,DIURNAL
Catagonus wagneri,696,826,DIURNAL
Cavia porcellus,703,1335,DIURNAL
Cercopithecus neglectus,262,309,DIURNAL
Colobus angolensis,177,275,DIURNAL
Dasyprocta punctata,1429,1804,DIURNAL
Dasypus novemcinctus,1390,2646,DIURNAL
Elaphurus davidianus,953,1142,DIURNAL
Helogale parvula,875,676,DIURNAL
Ictidomys tridecemlineatus,859,833,DIURNAL
Marmota marmota,873,826,DIURNAL
Mungos mungo,860,784,DIURNAL
Myrmecophaga tridactyla,1229,1940,DIURNAL
Nasalis larvatus,197,339,DIURNAL
Nomascus leucogenys,217,328,DIURNAL
Ovis aries,714,742,DIURNAL
Piliocolobus tephrosceles,202,254,DIURNAL
Pithecia pithecia,259,380,DIURNAL
Pygathrix nemaeus,191,312,DIURNAL
Rangifer tarandus,765,1134,DIURNAL
Rhinopithecus bieti,187,355,DIURNAL
Rhinopithecus roxellana,202,306,DIURNAL
Semnopithecus entellus,184,332,DIURNAL
Spermophilus dauricus,864,1009,DIURNAL
Suricata suricatta,707,834,DIURNAL
Tupaia belangeri chinensis,1053,1168,DIURNAL
Tupaia tana,874,981,DIURNAL
Ursus maritimus,869,757,DIURNAL
Acomys cahirinus,720,492,NOCTURNAL
Castor canadensis,729,1301,NOCTURNAL
Choloepus didactylus,929,1385,NOCTURNAL
Choloepus hoffmanni,1268,2571,NOCTURNAL
Craseonycteris thonglongyai,139,193,NOCTURNAL
Cricetomys gambianus,829,867,NOCTURNAL
Daubentonia madagascariensis,700,769,NOCTURNAL
Dicerorhinus sumatrensis,1180,1858,NOCTURNAL
Diceros bicornis,992,1337,NOCTURNAL
Dinomys branickii,734,862,NOCTURNAL
Dipodomys ordii,707,529,NOCTURNAL
Echinops telfairi,822,556,NOCTURNAL
Equus asinus,898,1281,NOCTURNAL
Erinaceus europaeus,814,453,NOCTURNAL
Galeopterus variegatus,831,982,NOCTURNAL
Graphiurus murinus,716,603,NOCTURNAL
Hippopotamus amphibius,994,1196,NOCTURNAL
Hipposideros galeritus,256,402,NOCTURNAL
Manis tricuspis,703,1386,NOCTURNAL
Megaderma lyra,264,349,NOCTURNAL
Mormoops blainvillei,252,337,NOCTURNAL
Mus caroli,993,524,NOCTURNAL
Mus musculus,964,523,NOCTURNAL
Mus pahari,942,536,NOCTURNAL
Mus spretus,874,556,NOCTURNAL
Mustela putorius,707,625,NOCTURNAL
Orycteropus afer,1033,1228,NOCTURNAL
Paradoxurus hermaphroditus,831,735,NOCTURNAL
Peromyscus maniculatus,865,507,NOCTURNAL
Pteronotus parnellii,239,277,NOCTURNAL
Rattus norvegicus,1073,679,NOCTURNAL
Rhinolophus ferrumequinum,245,274,NOCTURNAL
Rhinolophus sinicus,236,279,NOCTURNAL
Solenodon paradoxus,821,1209,NOCTURNAL
Spilogale gracilis,700,751,NOCTURNAL
Sus scrofa,997,900,NOCTURNAL
Tamandua tetradactyla,960,1476,NOCTURNAL
Tapirus indicus,936,1338,NOCTURNAL
Tapirus terrestris,880,1271,NOCTURNAL
Tragulus javanicus,885,875,NOCTURNAL
Zapus hudsonius,695,594,NOCTURNAL
