Bison bison
Bubalus bubalis
Cricetulus griseus
Equus caballus
Equus przewalskii
Loxodonta africana
Microgale talazaci
Microtus ochrogaster
Scalopus aquaticus
Sigmodon hispidus
Tolypeutes matacus
Ceratotherium cottoni
Ceratotherium simum
Odocoileus virginianus
Ammotragus lervia
Bos indicus
Bos mutus
Bos taurus
Capra aegagrus
Capra hircus
Catagonus wagneri
Cavia porcellus
Cercopithecus neglectus
Colobus angolensis
Dasyprocta punctata
Dasypus novemcinctus
Elaphurus davidianus
Helogale parvula
Ictidomys tridecemlineatus
Marmota marmota
Mungos mungo
Myrmecophaga tridactyla
Nasalis larvatus
Nomascus leucogenys
Ovis aries
Piliocolobus tephrosceles
Pithecia pithecia
Pygathrix nemaeus
Rangifer tarandus
Rhinopithecus bieti
Rhinopithecus roxellana
Semnopithecus entellus
Spermophilus dauricus
Suricata suricatta
Tupaia belangeri chinensis
Tupaia tana
Ursus maritimus
Acomys cahirinus
Castor canadensis
Choloepus didactylus
Choloepus hoffmanni
Craseonycteris thonglongyai
Cricetomys gambianus
Daubentonia madagascariensis
Dicerorhinus sumatrensis
Diceros bicornis
Dinomys branickii
Dipodomys ordii
Echinops telfairi
Equus asinus
Erinaceus europaeus
Galeopterus variegatus
Graphiurus murinus
Hippopotamus amphibius
Hipposideros galeritus
Manis tricuspis
Megaderma lyra
Mormoops blainvillei
Mus caroli
Mus musculus
Mus pahari
Mus spretus
Mustela putorius
Orycteropus afer
Paradoxurus hermaphroditus
Peromyscus maniculatus
Pteronotus parnellii
Rattus norvegicus
Rhinolophus ferrumequinum
Rhinolophus sinicus
Solenodon paradoxus
Spilogale gracilis
Sus scrofa
Tamandua tetradactyla
Tapirus indicus
Tapirus terrestris
Tragulus javanicus
Zapus hudsonius
